"A Well Thought Tragedy",12291,1310,"Other Concerts"
"A-Ha",7379,1310,"Other Concerts"
"A-Teens",2932,1310,"Other Concerts"
"A-Trak",9338,1305,"Classical and Orchestra"
"A. R. Rahman",12871,1310,"Other Concerts"
"A.I.T.F.",13136,1310,"Other Concerts"
"A3",2730,1310,"Other Concerts"
"Aap Kaa Surroor",10197,1310,"Other Concerts"
"Aaron Carter",1516,1310,"Other Concerts"
"Aaron Kwok",2176,1310,"Other Concerts"
"Aaron Lewis",5198,1301,"Alternative Rock"
"Aaron Neville",975,1313,"R&B"
"Aaron Tippin",2265,1306,"Country and Folk"
"Aaron Watson",12450,1310,"Other Concerts"
"ABBA Mania",4560,1310,"Other Concerts"
"ABBA The Show",7882,1310,"Other Concerts"
"ABBA: The Symphonic Hits Tour",3018,1310,"Other Concerts"
"ABBA: The Tribute",14308,1310,"Other Concerts"
"ABC",7511,1310,"Other Concerts"
"Aberdeen City",9873,1310,"Other Concerts"
"Abigail Washburn",9968,1310,"Other Concerts"
"Abk",9187,1310,"Other Concerts"
"Above This Fire",9339,1310,"Other Concerts"
"Abra Moore",13338,1310,"Other Concerts"
"Absolute Arabian Nights",11360,1310,"Other Concerts"
"AC/DC",7,1310,"Other Concerts"
"AC/DShe",14156,1310,"Other Concerts"
"Academy of Country Music All-Star Jam",12601,1310,"Other Concerts"
"Academy of Country Music Anniversary Special",7061,1310,"Other Concerts"
"Academy of Country Music Awards",1697,1302,"Awards and TV Shows"
"Academy of Country Music New Artists Show",8955,1310,"Other Concerts"
"Academy of St Martin",3567,1310,"Other Concerts"
"Ace",11625,1310,"Other Concerts"
"Ace Enders",13750,1310,"Other Concerts"
"Ace Frehley Band",3202,1310,"Other Concerts"
"Aceyalone",9808,1310,"Other Concerts"
"Acid Mothers Temple",9340,1310,"Other Concerts"
"Acme Comedy Company",4518,1310,"Other Concerts"
"Acoustic Alchemy",1878,1303,"Blues and Jazz"
"Acoustic Planet Tour",5561,1310,"Other Concerts"
"Acquire the Fire",7004,1310,"Other Concerts"
"Across The Narrows",7550,1310,"Other Concerts"
"Action Action",9799,1310,"Other Concerts"
"Action Kit",9066,1310,"Other Concerts"
"Acumen Nation",10979,1310,"Other Concerts"
"Acura Music Fest",1041,1310,"Other Concerts"
"Adair",10984,1310,"Other Concerts"
"Adam Ant",9,1310,"Other Concerts"
"Adam Franklin",13891,1310,"Other Concerts"
"Adam Green",10526,1310,"Other Concerts"
"Adam Pascal",14715,1310,"Other Concerts"
"Adam Pringle",13590,1310,"Other Concerts"
"Addison Groove Project",12545,1310,"Other Concerts"
"Adele Givens",7920,1310,"Other Concerts"
"Adema",2768,1310,"Other Concerts"
"Admit One",11797,1310,"Other Concerts"
"Adnan Sami",6627,1310,"Other Concerts"
"Adrian Belew",9169,1310,"Other Concerts"
"Adrian Zmed",12757,1310,"Other Concerts"
"Adrienne Young",10943,1310,"Other Concerts"
"Adult.",10045,1310,"Other Concerts"
"Aereogramme",12667,1310,"Other Concerts"
"Aerosmith",10,1304,"Classic Rock"
"Aesop Rock",6900,1310,"Other Concerts"
"Aetheria",12472,1310,"Other Concerts"
